raw_run,filling_scheme,filling_config,fillno,energy,intensity_per_bunch,mu,interacting_bunches,noninteracting_bunches_beam_1,noninteracting_bunches_beam_2,interaction_trigger,rate,beam_empty_trigger,empty_empty_trigger,muon_trigger,high_multiplicity_trigger,emcal_trigger,calibration_trigger,quality,muon_quality,comment,changedon,changedby,field_value,field_message,aco_value,aco_message,ad0_status,ad0_message,emc_value,emc_message,fmd_value,fmd_message,hlt_status,hlt_message,hmp_value,hmp_message,mch_status,mch_message,mtr_value,mtr_message,phs_value,phs_message,pmd_status,pmd_message,spd_value,spd_message,sdd_value,sdd_message,ssd_value,ssd_message,tof_value,tof_message,tpc_value,tpc_message,trd_value,trd_message,t00_value,t00_message,v00_value,v00_message,zdc_value,zdc_message,hlt_mode_value,hlt_mode_message
273100,339,25ns_2556b_2544_2215_2332_144bpi_20inj,5887,6499,,,2215,341,341,324692,172.616699,,,123432,,38154,,,,,1502786975,phuhn,1,- -,-1000,Not set,-1000,Not set,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-2000,Detector off,3,C
273099,339,25ns_2556b_2544_2215_2332_144bpi_20inj,5887,6500,,,2215,341,341,1077453,150.188599,,,489771,,158352,,,,,1502786975,phuhn,1,- -,-1000,Not set,-1000,Not set,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-2000,Detector off,3,C
273077,339,25ns_2556b_2544_2215_2332_144bpi_20inj,5885,6500,,,2215,341,341,129060,141.668503,,,56006,,18735,,,,,1503314939,phuhn,1,- -,-1000,Not set,-1000,Not set,1,Detector was ON and running according to nominal specifications,-1,detector was ON; but output can not be trusted / is known to be not usable,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-2000,Detector off,3,C
273010,339,25ns_2556b_2544_2215_2332_144bpi_20inj,5883,6499,,,2215,341,341,806247,163.605316,,,308791,,,,,,,1502786975,phuhn,1,- -,-1000,Not set,-1000,Not set,-2000,Detector off,10,This run had very few or no events; no QA possible,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-2000,Detector off,3,C
273009,339,25ns_2556b_2544_2215_2332_144bpi_20inj,5883,6500,,,2215,341,341,569952,154.207794,,,238179,,87258,,,,,1503326662,germain,1,- -,-1000,Not set,-1000,Not set,1,Detector was ON and running according to nominal specifications,10,This run had very few or no events; no QA possible,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-2000,Detector off,3,C
272985,339,25ns_2556b_2544_2215_2332_144bpi_20inj,5883,6500,,,2215,341,341,620823,164.238892,,,244150,,,,,,,1502786975,phuhn,1,- -,-1000,Not set,-1000,Not set,-2000,Detector off,10,This run had very few or no events; no QA possible,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-2000,Detector off,3,C
272983,339,25ns_2556b_2544_2215_2332_144bpi_20inj,5883,6499,,,2215,341,341,161697,105.546341,,,98827,,24298,,,,,1502786975,phuhn,1,- -,-1000,Not set,-1000,Not set,1,Detector was ON and running according to nominal specifications,10,This run had very few or no events; no QA possible,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-2000,Detector off,3,C
272976,339,25ns_2556b_2544_2215_2332_144bpi_20inj,5883,6500,,,2215,341,341,587854,151.313766,,,257223,,,,,,,1502786921,phuhn,1,- -,-1000,Not set,-1000,Not set,-2000,Detector off,-2000,Detector off,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-2000,Detector off,3,C
272949,339,25ns_2556b_2544_2215_2332_144bpi_20inj,5882,6499,,,2215,341,341,961225,146.282913,,,408766,,149153,,,,,1502786921,phuhn,1,- -,-1000,Not set,-1000,Not set,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-2000,Detector off,3,C
272947,339,25ns_2556b_2544_2215_2332_144bpi_20inj,5882,6500,,,2215,341,341,497123,146.817184,,,206689,,75613,,,,,1502786921,phuhn,1,- -,-1000,Not set,-1000,Not set,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-2000,Detector off,3,C
272939,339,25ns_2556b_2544_2215_2332_144bpi_20inj,5882,6499,,,2215,341,341,666260,187.996613,,,206766,,,,,,,1502786921,phuhn,1,- -,-1000,Not set,-1000,Not set,-2000,Detector off,1,Detector was ON and running according to nominal specifications,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-2000,Detector off,3,C
272935,339,25ns_2556b_2544_2215_2332_144bpi_20inj,5882,6500,,,2215,341,341,1678385,142.950775,,,721856,,254616,,,,,1502786921,phuhn,1,- -,-1000,Not set,-1000,Not set,40,pending statement issues in time distrib SM1;2;6,1,Detector was ON and running according to nominal specifications,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-2000,Detector off,3,C
272934,339,25ns_2556b_2544_2215_2332_144bpi_20inj,5882,6500,,,2215,341,341,193102,150.040405,,,81839,,30456,,,,,1502786921,phuhn,1,- -,-1000,Not set,-1000,Not set,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-2000,Detector off,3,C
272933,339,25ns_2556b_2544_2215_2332_144bpi_20inj,5882,6500,,,2215,341,341,813976,134.497025,,,355337,,121254,,,,,1502786921,phuhn,1,- -,-1000,Not set,-1000,Not set,40,pending statement issues in time distrib SM1;2;6,1,Detector was ON and running according to nominal specifications,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-2000,Detector off,3,C
272932,339,25ns_2556b_2544_2215_2332_144bpi_20inj,5882,6500,,,2215,341,341,205209,138.561111,,,90453,,30861,,,,,1502786921,phuhn,1,- -,-1000,Not set,-1000,Not set,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,1,Detector was ON and running according to nominal specifications,-2000,Detector off,3,C
